Institution_ID,Undergraduate_Enrollment_FTE,Graduate_Enrollment_FTE,Reported_Undergraduate_Enrollment_FTE,Reported_Graduate_Enrollment_FTE,Doctors_Professional_Practice_FTE,Activity_Type,Year
110662,30510.0,11004.0,30510.0,11004.0,1638.0,2,2016
110671,18466.0,2913.0,18466.0,2913.0,145.0,2,2016
110680,27693.0,6040.0,27693.0,6040.0,757.0,2,2016
110699,,1412.0,,1412.0,1639.0,-2,2016
110705,20886.0,3092.0,20886.0,3092.0,,2,2016
110714,16506.0,1737.0,16506.0,1737.0,,2,2016
110778,6.0,246.0,6.0,246.0,,2,2016
110875,85.0,,85.0,,,1,2016
110918,13.0,,13.0,,,3,2016
111009,522.0,,453.0,,,2,2016
111054,270.0,,270.0,,,1,2016
111081,1034.0,640.0,946.0,496.0,,2,2016
111188,1309.0,,1309.0,,,2,2016
111391,,90.0,,90.0,631.0,-2,2016
111434,3325.0,,3325.0,,,2,2016
111461,12905.0,,12905.0,,,2,2016
111513,189.0,,189.0,,,1,2016
111638,574.0,,574.0,,,3,2016
111708,201.0,,201.0,,,1,2016
111717,335.0,,335.0,,,1,2016
111726,266.0,,266.0,,,1,2016
111744,154.0,,154.0,,,1,2016
111762,112.0,,112.0,,,1,2016
111799,78.0,,78.0,,,1,2016
111887,14025.0,,14025.0,,,2,2016
111896,2303.0,,2303.0,,,2,2016
111920,8113.0,,8113.0,,,2,2016
111939,12773.0,,12773.0,,,2,2016
111948,6519.0,1065.0,6519.0,1065.0,714.0,2,2016
111966,81.0,541.0,81.0,361.0,,2,2016
112075,1996.0,2139.0,1996.0,2139.0,,2,2016
112084,785.0,4.0,785.0,4.0,,2,2016
112127,,63.0,,63.0,1.0,-2,2016
112172,9776.0,,9776.0,,,2,2016
112181,174.0,,174.0,,,1,2016
112190,13358.0,,13358.0,,,2,2016
112251,,1194.0,,1194.0,,-2,2016
112260,1338.0,32.0,1338.0,32.0,,2,2016
112288,536.0,,536.0,,,1,2016
112367,268.0,,268.0,,,1,2016
112385,6208.0,,6208.0,,,2,2016
112394,630.0,,630.0,,,2,2016
112446,404.0,80.0,404.0,80.0,,2,2016
112455,38.0,,38.0,,,1,2016
112525,,622.0,,589.0,3287.0,-2,2016
112561,1457.0,,1457.0,,,2,2016
112570,497.0,,497.0,,,2,2016
112686,4180.0,,4180.0,,,2,2016
112826,3877.0,,3877.0,,,2,2016
113096,9087.0,,9087.0,,,2,2016
113111,3838.0,,3838.0,,,2,2016
113193,6201.0,,6201.0,,,2,2016
113218,4779.0,,4779.0,,,2,2016
113236,9962.0,,9962.0,,,2,2016
113333,16572.0,,16572.0,,,2,2016
113449,220.0,,220.0,,,1,2016
113537,17.0,46.0,17.0,46.0,,1,2016
113573,6847.0,,6847.0,,,2,2016
113582,141.0,,141.0,,,2,2016
113634,13742.0,,13742.0,,,2,2016
113698,1322.0,407.0,1322.0,407.0,,2,2016
113704,,43.0,,43.0,,-2,2016
113856,19256.0,,19256.0,,,2,2016
113980,14768.0,,14768.0,,,2,2016
114044,339.0,,339.0,,,3,2016
114114,,197.0,,197.0,43.0,-2,2016
114123,414.0,103.0,414.0,103.0,0.0,2,2016
114266,5560.0,,5560.0,,,2,2016
114354,2769.0,,2769.0,,,2,2016
114390,327.0,,327.0,,,2,2016
114415,91.0,,91.0,,,2,2016
114433,1164.0,,1576.0,,,2,2016
114460,331.0,,331.0,,,1,2016
114549,,1072.0,,870.0,,-2,2016
114585,,441.0,,441.0,50.0,-2,2016
114628,4.0,,4.0,,,1,2016
114637,50.0,,50.0,,,1,2016
114716,10423.0,,10423.0,,,2,2016
114734,,31.0,,31.0,,-2,2016
114761,63.0,,63.0,,,1,2016
114789,13737.0,,13737.0,,,2,2016
114813,2250.0,993.0,2250.0,993.0,,2,2016
114840,,1628.0,,1628.0,360.0,-2,2016
114859,15996.0,,15996.0,,,2,2016
114938,3411.0,,3411.0,,,2,2016
114947,360.0,,360.0,,,1,2016
115001,12154.0,,12154.0,,,2,2016
115010,521.0,,424.0,,,1,2016
115083,340.0,1219.0,340.0,1219.0,508.0,2,2016
115126,7681.0,,7681.0,,,2,2016
115214,,208.0,,208.0,,-2,2016
115296,11293.0,,11293.0,,,2,2016
115357,47.0,,47.0,,,1,2016
115393,5987.0,,5987.0,,,2,2016
115409,855.0,,809.0,,,2,2016
115658,167.0,,167.0,,,1,2016
115728,611.0,273.0,611.0,273.0,,2,2016
115746,,715.0,,715.0,,-2,2016
115755,7617.0,302.0,7617.0,302.0,,2,2016
115773,507.0,25.0,507.0,25.0,85.0,2,2016
115861,5863.0,,5863.0,,,2,2016
115931,629.0,,629.0,,,3,2016
116226,120.0,1.0,120.0,1.0,,2,2016
116350,373.0,,373.0,,,1,2016
116439,8943.0,,8943.0,,,2,2016
116563,152.0,,152.0,,,1,2016
116712,116.0,431.0,116.0,431.0,221.0,2,2016
116846,67.0,120.0,67.0,120.0,,2,2016
117052,6127.0,,6127.0,,,2,2016
117104,490.0,41.0,490.0,41.0,,2,2016
117113,1528.0,,1528.0,,,2,2016
117140,4924.0,1965.0,4924.0,1965.0,226.0,2,2016
117168,514.0,40.0,514.0,40.0,,2,2016
117195,1402.0,,1402.0,,,2,2016
117238,144.0,,144.0,,,1,2016
117247,6078.0,,6078.0,,,2,2016
117274,1411.0,,1411.0,,,2,2016
117520,,,,,544.0,-2,2016
117548,,,,,290.0,-2,2016
117557,160.0,483.0,160.0,483.0,,3,2016
117575,63.0,154.0,63.0,154.0,158.0,2,2016
117627,1887.0,262.0,1887.0,262.0,,2,2016
117636,1050.0,1636.0,1050.0,1636.0,1729.0,2,2016
117645,16582.0,,16582.0,,,2,2016
117672,412.0,98.0,412.0,98.0,442.0,2,2016
117690,5833.0,,5833.0,,,2,2016
117706,12995.0,,12995.0,,,2,2016
117715,4138.0,,4138.0,,,2,2016
117724,8385.0,,8385.0,,,2,2016
117733,10642.0,,10642.0,,,2,2016
117751,1179.0,415.0,1179.0,415.0,,2,2016
117788,10758.0,,10758.0,,,2,2016
117803,135.0,,135.0,,,2,2016
117867,5451.0,,5451.0,,,2,2016
117894,5813.0,,5813.0,,,2,2016
117928,786.0,1.0,786.0,1.0,,2,2016
117946,6430.0,1501.0,5885.0,1437.0,916.0,2,2016
117955,292.0,,292.0,,,1,2016
118134,71.0,,71.0,,,1,2016
118143,80.0,,80.0,,,1,2016
118161,148.0,,148.0,,,1,2016
118189,123.0,,123.0,,,1,2016
118198,697.0,,697.0,,,3,2016
118259,525.0,,525.0,,,3,2016
118277,1362.0,,1362.0,,,3,2016
118286,1067.0,,1067.0,,,3,2016
